Symbol,Date,Open,Close,Volume,MarketCap,Sector,Industry
a,2019-01-03,58.49078797735632,183.53197063722487,18809132,91258227925.33801,Transportation,Transportation Services
a,2019-01-04,87.55231140235473,158.2356106195287,12843985,91258227925.33801,Transportation,Transportation Services
a,2019-01-03,183.4371962505137,106.88517938960096,10818718,91258227925.33801,Transportation,Transportation Services
a,2019-01-05,81.18235064720125,124.42044210799807,6528116,91258227925.33801,Transportation,Transportation Services
a,2019-01-05,80.7649434616024,89.54009061144819,5728609,91258227925.33801,Transportation,Transportation Services
a,2019-01-06,80.02557505368026,77.7812762897748,4608041,91258227925.33801,Transportation,Transportation Services
a,2019-01-07,72.85837113662728,76.48773885939484,8975396,91258227925.33801,Transportation,Transportation Services
a,2019-01-12,69.18688659231591,85.343948200431,2210344,91258227925.33801,Transportation,Transportation Services
a,2019-01-14,75.24608202964507,82.63236425021942,2034493,91258227925.33801,Transportation,Transportation Services
a,2019-01-15,78.81225838759559,93.2558056066666,6584646,91258227925.33801,Transportation,Transportation Services
a,2019-01-17,69.39480927955076,78.79285997275007,8217638,91258227925.33801,Transportation,Transportation Services
a,2019-01-19,97.81772743711758,91.31179069838564,7363233,91258227925.33801,Transportation,Transportation Services
a,2019-01-21,105.19620579337924,77.0242146773474,10433389,91258227925.33801,Transportation,Transportation Services
a,2019-01-22,67.4849862693977,79.12178552907012,-493090,91258227925.33801,Transportation,Transportation Services
a,2019-01-24,93.19424881582209,90.1299199436201,9028091,91258227925.33801,Transportation,Transportation Services
a,2019-01-26,82.35615700140598,100.22125699413861,3008456,91258227925.33801,Transportation,Transportation Services
a,2019-01-29,88.25689002866376,103.69881236542065,120927,91258227925.33801,Transportation,Transportation Services
a,2019-01-31,100.93177702161478,97.74185475684277,7011465,91258227925.33801,Transportation,Transportation Services
a,2019-01-31,90.95689295375576,104.93573081476822,4216007,91258227925.33801,Transportation,Transportation Services
a,2019-02-03,93.97747954865824,90.77135594082911,2510035,91258227925.33801,Transportation,Transportation Services
a,2019-02-03,80.53320754175772,101.41847193167075,5240000,91258227925.33801,Transportation,Transportation Services
a,2019-02-04,89.05160621525313,95.5394378416393,6731081,91258227925.33801,Transportation,Transportation Services
