user_id,country,gender,age
0,DE,M,57
1,US,,34
2,DE,M,22
3,BG,,44
4,US,F,44
5,ES,,36
6,US,M,31
7,BG,,32
8,ES,M,40
9,US,F,40
10,UK,,23
11,ES,,37
12,BG,,35
13,UK,,38
14,FR,M,57
15,US,F,57
16,US,F,40
17,UK,F,34
18,US,F,28
19,UK,M,34
20,US,M,22
21,FR,F,57
22,US,M,46
23,ES,M,28
24,UK,F,53
25,ES,M,41
26,US,F,35
27,ES,M,31
28,DE,F,52
29,ES,M,34
30,ES,F,22
31,BG,,46
32,UK,M,43
33,US,M,51
34,US,F,47
35,UK,M,28
36,ES,M,39
37,ES,,57
38,US,M,22
39,UK,M,53
40,US,M,22
41,DE,,34
42,US,M,57
43,ES,M,39
44,US,M,55
45,US,M,39
46,DE,F,35
47,UK,,35
48,ES,F,36
49,ES,F,35
50,DE,,38
51,ES,M,48
52,DE,,44
53,UK,,45
54,ES,F,57
55,BG,M,38
56,DE,M,35
57,ES,F,23
58,UK,F,50
59,ES,,50
60,UK,F,50
61,US,M,22
62,US,M,30
63,UK,M,38
64,DE,M,57
65,UK,F,22
66,ES,M,48
67,UK,F,46
68,US,F,26
69,ES,F,23
70,US,,29
71,US,,48
72,US,M,42
73,US,M,22
74,ES,M,40
75,DE,F,45
76,FR,M,52
77,DE,M,50
78,ES,F,39
79,DE,F,39
80,UK,M,22
81,US,,22
82,US,M,47
83,ES,,49
84,US,,28
85,ES,F,41
86,UK,M,35
87,DE,F,27
88,FR,M,57
89,ES,,30
90,DE,F,36
91,UK,F,40
92,US,M,22
93,DE,F,56
94,UK,M,43
95,US,M,22
96,ES,M,40
97,BG,F,22
98,DE,M,39
99,UK,F,55
