transaction_id,session_id,timestamp,amount,cancelled
0,0,2019-01-12 23:24:16,106.6,False
1,1,2019-01-15 00:14:32,111.4,True
2,2,2019-01-21 10:37:33,83.5,False
3,3,2019-01-09 08:25:16,86.8,False
4,4,2019-01-20 20:18:50,106.1,False
5,5,2019-01-01 12:34:32,105.8,True
6,6,2019-01-11 12:28:23,61.1,False
7,7,2019-01-26 09:47:43,121.9,False
8,8,2019-01-01 12:34:32,84.0,False
9,9,2019-01-12 05:07:42,86.1,False
10,10,2019-01-10 08:43:28,121.5,True
11,11,2019-01-15 17:09:53,90.3,False
12,12,2019-01-17 06:37:42,66.6,False
13,13,2019-01-08 21:56:27,76.6,True
14,14,2019-01-26 13:07:08,76.7,False
15,15,2019-01-01 12:34:32,66.4,False
16,16,2019-01-22 16:45:25,114.0,True
17,17,2019-01-07 03:52:28,86.9,False
18,18,2019-01-24 22:52:56,79.5,False
19,19,2019-01-04 12:09:42,104.9,True
20,20,2019-01-22 23:56:43,106.0,False
21,21,2019-01-01 12:34:32,126.9,True
22,22,2019-01-16 06:25:22,132.1,True
23,23,2019-01-01 12:34:32,111.5,True
24,24,2019-01-17 22:39:14,95.8,False
25,25,2019-01-04 17:11:24,97.1,False
26,26,2019-01-01 12:34:32,78.0,False
27,27,2019-01-29 12:10:48,77.8,False
28,28,2019-01-01 12:34:32,95.4,False
29,29,2019-01-04 20:52:56,77.1,False
30,30,2019-01-25 00:19:53,55.3,False
31,31,2019-01-24 11:54:12,70.2,False
32,32,2019-01-16 06:43:13,85.0,False
33,33,2019-01-25 11:01:31,118.4,True
34,34,2019-01-07 05:03:10,132.1,True
35,35,2019-01-01 12:34:32,72.9,True
36,36,2019-01-11 09:20:02,55.3,False
37,37,2019-01-11 16:25:45,90.2,True
38,38,2019-01-24 00:29:40,132.1,True
39,39,2019-01-09 00:25:29,59.3,False
40,40,2019-01-14 09:47:20,93.1,False
41,41,2019-01-01 12:34:32,103.1,False
42,42,2019-01-22 20:48:50,100.7,False
43,43,2019-01-15 23:04:45,128.1,True
44,44,2019-01-01 12:34:32,76.6,False
45,45,2019-01-20 14:27:32,59.7,False
46,46,2019-01-07 04:26:36,121.4,True
47,47,2019-01-01 12:34:32,118.8,True
48,48,2019-01-17 14:09:00,130.5,True
49,49,2019-01-09 23:15:21,118.8,False
50,50,2019-01-01 12:34:32,69.8,False
51,51,2019-01-19 06:40:26,90.6,False
52,52,2019-01-08 23:49:39,74.6,False
53,53,2019-01-01 12:34:32,75.9,False
54,54,2019-01-18 09:51:09,91.8,False
55,55,2019-01-23 23:11:00,91.3,False
56,56,2019-01-07 09:50:12,55.3,False
57,57,2019-01-22 07:00:51,106.5,False
58,58,2019-01-24 06:54:08,55.3,False
59,59,2019-01-03 04:05:50,102.8,True
60,60,2019-01-25 16:45:49,93.2,False
61,61,2019-01-27 18:22:37,61.5,False
62,62,2019-01-15 11:26:52,87.3,False
63,63,2019-01-25 22:19:05,81.6,True
64,64,2019-01-28 23:02:05,71.4,False
65,65,2019-01-09 15:44:22,120.2,True
66,66,2019-01-17 21:19:45,112.1,True
67,67,2019-01-10 09:53:05,116.3,True
68,68,2019-01-10 22:17:20,78.0,False
69,69,2019-01-29 12:10:48,102.2,True
70,70,2019-01-14 13:29:24,92.2,False
71,71,2019-01-04 14:53:35,57.9,False
72,72,2019-01-08 05:31:31,75.8,False
73,73,2019-01-14 07:22:25,114.4,True
74,74,2019-01-21 07:25:06,128.3,True
75,75,2019-01-12 15:06:24,113.4,False
76,76,2019-01-13 02:04:27,74.5,False
77,77,2019-01-22 06:17:35,87.5,False
78,78,2019-01-15 16:29:34,94.5,True
79,79,2019-01-29 12:10:48,85.6,False
80,80,2019-01-25 08:39:45,86.2,False
81,81,2019-01-19 17:47:17,118.4,True
82,82,2019-01-06 14:46:12,85.1,False
83,83,2019-01-06 15:03:28,114.4,True
84,84,2019-01-22 14:04:26,89.7,False
85,85,2019-01-17 20:11:32,109.0,True
86,86,2019-01-01 12:34:32,89.3,False
87,87,2019-01-21 22:20:04,94.7,False
88,88,2019-01-01 12:34:32,92.5,False
89,89,2019-01-01 12:34:32,102.0,False
90,90,2019-01-11 11:03:20,93.5,True
91,91,2019-01-17 16:14:49,129.5,True
92,92,2019-01-24 03:00:12,79.0,False
93,93,2019-01-26 04:26:32,81.3,False
94,94,2019-01-28 22:25:36,126.6,False
95,95,2019-01-23 09:11:17,62.4,False
96,96,2019-01-10 12:53:25,73.6,False
97,97,2019-01-01 12:34:32,87.2,False
98,98,2019-01-11 21:48:58,65.2,False
99,99,2019-01-17 15:20:20,71.2,False
